Account Transactions,,,,,,,,,
AustGrade Mascot Swimming Pty Ltd,,,,,,,,,
For the period 1 July 2025 to 30 June 2026,,,,,,,,,
,,,,,,,,,
"Account Type contains Asset, Liability, Equity",,,,,,,,,
,,,,,,,,,
Date,Source,Description,Reference,Debit,Credit,Running Balance,Gross,GST,Account
08 Jan 2026,Bank Transfer,Bank Transfer from NAB- Austgrade  to ANZ - Austgrade,AustgNABtoANZ,536.91,0.00,(321.62),536.91,0.00,ANZ - Austgrade
23 Jan 2026,Spend Money,ANZ Bank,,0.00,4.73,(326.35),(4.73),0.00,ANZ - Austgrade
23 Jan 2026,Payable Payment,Payment: AOZ PRINT AND GRAPHI,,0.00,10.00,(336.35),(10.00),0.00,ANZ - Austgrade
28 Jan 2026,Receive Money,ANZ Bank,,59.56,0.00,(276.79),59.56,0.00,ANZ - Austgrade
23 Feb 2026,Spend Money,ACCOUNT FEES,,0.00,10.00,(286.79),(10.00),0.00,ANZ - Austgrade
23 Feb 2026,Spend Money,ANZ Bank,,0.00,0.03,(286.82),(0.03),0.00,ANZ - Austgrade
02 Mar 2026,Receive Money,ANZ Bank,,54.30,0.00,(232.52),54.30,0.00,ANZ - Austgrade
23 Mar 2026,Spend Money,ACCOUNT FEES,,0.00,10.00,(242.52),(10.00),0.00,ANZ - Austgrade
30 Mar 2026,Receive Money,ANZ Bank,,49.05,0.00,(193.47),49.05,0.00,ANZ - Austgrade
23 Apr 2026,Spend Money,ACCOUNT FEES,,0.00,10.00,(203.47),(10.00),0.00,ANZ - Austgrade
24 Apr 2026,Spend Money,Andrew Kastoun,,0.00,100.00,(303.47),(100.00),0.00,ANZ - Austgrade
28 Apr 2026,Receive Money,ANZ Bank,,54.30,0.00,(249.17),54.30,0.00,ANZ - Austgrade
22 May 2026,Spend Money,ACCOUNT FEES,,0.00,10.00,(259.17),(10.00),0.00,ANZ - Austgrade
28 May 2026,Receive Money,ANZ Bank,,52.55,0.00,(206.62),52.55,0.00,ANZ - Austgrade
10 Jun 2026,Spend Money,Andrew Kastoun,,0.00,115.00,(321.62),(115.00),0.00,ANZ - Austgrade
23 Jun 2026,Spend Money,ACCOUNT FEES,,0.00,10.00,(331.62),(10.00),0.00,ANZ - Austgrade
29 Jun 2026,Receive Money,ANZ Bank,,52.55,0.00,(279.07),52.55,0.00,ANZ - Austgrade
Total  - ANZ - Austgrade,,,,"1,212.23","1,491.30",(279.07),(279.07),0.00,
,,,,,,,,,
 - NAB- Austgrade ,,,,,,,,,
01 Jul 2025,Spend Money,Merchant Fee,,0.00,36.54,(36.54),(36.54),0.00,NAB- Austgrade 
01 Jul 2025,Payable Payment,Payment: BUNNINGS,,0.00,119.91,(156.45),(119.91),0.00,NAB- Austgrade 
01 Jul 2025,Receive Money,Ezidebit,,398.92,0.00,242.47,398.92,0.00,NAB- Austgrade 
01 Jul 2025,Spend Money,Swimbiz,,0.00,404.17,(161.70),(404.17),0.00,NAB- Austgrade 
01 Jul 2025,Spend Money,TAXIDEAS,,0.00,363.00,(524.70),(363.00),0.00,NAB- Austgrade 
01 Jul 2025,Spend Money,Humm AUS solar panel payment,,0.00,8.00,(532.70),(8.00),0.00,NAB- Austgrade 
02 Jul 2025,Receive Money,Ezidebit,,116.78,0.00,(415.92),116.78,0.00,NAB- Austgrade 
02 Jul 2025,Payable Payment,Payment: Waster Pty Ltd,00120717,0.00,140.80,(556.72),(140.80),0.00,NAB- Austgrade 
02 Jul 2025,Receive Money,Service NSW AUSTGRADE,,150.00,0.00,(406.72),150.00,0.00,NAB- Austgrade 
03 Jul 2025,Receive Money,Ezidebit,,291.12,0.00,(115.60),291.12,0.00,NAB- Austgrade 
03 Jul 2025,Receive Money,Flexipay,,256.28,0.00,140.68,256.28,0.00,NAB- Austgrade 
04 Jul 2025,Receive Money,SERVICE NSW,,100.00,0.00,240.68,100.00,0.00,NAB- Austgrade 
04 Jul 2025,Payable Payment,Payment: TELSTRA,K 555 442 561 Acc,0.00,179.99,60.69,(179.99),0.00,NAB- Austgrade 
04 Jul 2025,Receive Money,Ezidebit,,115.90,0.00,176.59,115.90,0.00,NAB- Austgrade 
07 Jul 2025,Receivable Payment,Payment: Mika,INV-0041,"4,290.00",0.00,"4,466.59","4,290.00",0.00,NAB- Austgrade 
07 Jul 2025,Payable Payment,Payment: pharmacy4less,,0.00,21.98,"4,444.61",(21.98),0.00,NAB- Austgrade 
07 Jul 2025,Receive Money,Ezidebit,,305.12,0.00,"4,749.73",305.12,0.00,NAB- Austgrade 
07 Jul 2025,Receive Money,Flexipay,,32.50,0.00,"4,782.23",32.50,0.00,NAB- Austgrade 
07 Jul 2025,Receive Money,Flexipay,,50.00,0.00,"4,832.23",50.00,0.00,NAB- Austgrade 
07 Jul 2025,Receive Money,DONNA LOHMEYERA,,175.00,0.00,"5,007.23",175.00,0.00,NAB- Austgrade 
07 Jul 2025,Spend Money,ONLINE Y2945203633 Mascot to Aroona AUSTGRADE M,,0.00,"5,000.00",7.23,"(5,000.00)",0.00,NAB- Austgrade 
07 Jul 2025,Receive Money,Flexipay,,40.00,0.00,47.23,40.00,0.00,NAB- Austgrade 
07 Jul 2025,Receive Money,Donna,,120.00,0.00,167.23,120.00,0.00,NAB- Austgrade 
08 Jul 2025,Payable Payment,Payment: JB HI FI,,0.00,85.00,82.23,(85.00),0.00,NAB- Austgrade 
08 Jul 2025,Payable Payment,Payment: BUNNINGS,,0.00,190.38,(108.15),(190.38),0.00,NAB- Austgrade 
08 Jul 2025,Receive Money,Ezidebit,,268.24,0.00,160.09,268.24,0.00,NAB- Austgrade 
09 Jul 2025,Receive Money,Ezidebit,,161.12,0.00,321.21,161.12,0.00,NAB- Austgrade 
09 Jul 2025,Receive Money,Flexipay,,10.00,0.00,331.21,10.00,0.00,NAB- Austgrade 
10 Jul 2025,Payable Payment,Payment: IGA,,0.00,10.80,320.41,(10.80),0.00,NAB- Austgrade 
10 Jul 2025,Spend Money,salary,,0.00,"9,670.55","(9,350.14)","(9,670.55)",0.00,NAB- Austgrade 
10 Jul 2025,Receive Money,Flexipay,,227.81,0.00,"(9,122.33)",227.81,0.00,NAB- Austgrade 
10 Jul 2025,Spend Money,Humm AUS solar panel payment,,0.00,192.97,"(9,315.30)",(192.97),0.00,NAB- Austgrade 
10 Jul 2025,Receive Money,aroona,,"9,000.00",0.00,(315.30),"9,000.00",0.00,NAB- Austgrade 
10 Jul 2025,Spend Money,Dulamsuren Amgalan,,0.00,355.00,(670.30),(355.00),0.00,NAB- Austgrade 
11 Jul 2025,Receive Money,Flexipay,,778.51,0.00,108.21,778.51,0.00,NAB- Austgrade 
11 Jul 2025,Receive Money,SERVICE NSW,,50.00,0.00,158.21,50.00,0.00,NAB- Austgrade 
11 Jul 2025,Payable Payment,Payment: IGA,,0.00,7.00,151.21,(7.00),0.00,NAB- Austgrade 
11 Jul 2025,Spend Money,SuperChoice,,0.00,"1,292.96","(1,141.75)","(1,292.96)",0.00,NAB- Austgrade 
14 Jul 2025,Receive Money,Flexipay,,327.43,0.00,(814.32),327.43,0.00,NAB- Austgrade 
14 Jul 2025,Receive Money,SERVICE NSW,,100.00,0.00,(714.32),100.00,0.00,NAB- Austgrade 
14 Jul 2025,Payable Payment,Payment: Budget Petrol,,0.00,89.70,(804.02),(89.70),0.00,NAB- Austgrade 
14 Jul 2025,Receive Money,aroona,,"1,000.00",0.00,195.98,"1,000.00",0.00,NAB- Austgrade 
14 Jul 2025,Receive Money,Auskor Swimm,,"1,000.00",0.00,"1,195.98","1,000.00",0.00,NAB- Austgrade 
15 Jul 2025,Receivable Payment,Payment: Mascot Public School,INV-0042,"6,000.00",0.00,"7,195.98","6,000.00",0.00,NAB- Austgrade 
15 Jul 2025,Payable Payment,Payment: BUNNINGS,,0.00,37.19,"7,158.79",(37.19),0.00,NAB- Austgrade 
15 Jul 2025,Payable Payment,Payment: Aquatic Elements Pty Ltd,00121280,0.00,"4,275.70","2,883.09","(4,275.70)",0.00,NAB- Austgrade 
16 Jul 2025,Receive Money,SERVICE NSW,,200.00,0.00,"3,083.09",200.00,0.00,NAB- Austgrade 
16 Jul 2025,Receive Money,Ezidebit,,"1,350.95",0.00,"4,434.04","1,350.95",0.00,NAB- Austgrade 
17 Jul 2025,Payable Payment,Payment: IGA,,0.00,12.90,"4,421.14",(12.90),0.00,NAB- Austgrade 
17 Jul 2025,Receive Money,SERVICE NSW,,50.00,0.00,"4,471.14",50.00,0.00,NAB- Austgrade 
17 Jul 2025,Spend Money,Origin Energy,,0.00,"3,446.55","1,024.59","(3,446.55)",0.00,NAB- Austgrade 
17 Jul 2025,Receive Money,Flexipay,,56.95,0.00,"1,081.54",56.95,0.00,NAB- Austgrade 
17 Jul 2025,Payable Payment,Payment: Waster Pty Ltd,00118068,0.00,140.80,940.74,(140.80),0.00,NAB- Austgrade 
17 Jul 2025,Receive Money,Ezidebit,,937.06,0.00,"1,877.80",937.06,0.00,NAB- Austgrade 
18 Jul 2025,Receive Money,Ezidebit,,212.82,0.00,"2,090.62",212.82,0.00,NAB- Austgrade 
18 Jul 2025,Receive Money,Flexipay,,16.00,0.00,"2,106.62",16.00,0.00,NAB- Austgrade 
18 Jul 2025,Receive Money,SERVICE NSW,,150.00,0.00,"2,256.62",150.00,0.00,NAB- Austgrade 
21 Jul 2025,Payable Payment,Payment: G18 discount market,,0.00,5.50,"2,251.12",(5.50),0.00,NAB- Austgrade 
21 Jul 2025,Receive Money,Ezidebit,,756.41,0.00,"3,007.53",756.41,0.00,NAB- Austgrade 
22 Jul 2025,Payable Payment,Payment: officework,,0.00,22.87,"2,984.66",(22.87),0.00,NAB- Austgrade 
22 Jul 2025,Payable Payment,Payment: BUNNINGS,,0.00,62.95,"2,921.71",(62.95),0.00,NAB- Austgrade 
22 Jul 2025,Spend Money,ONLINE J6289145852 Mascot to... Transfer Debit,,0.00,"1,000.00","1,921.71","(1,000.00)",0.00,NAB- Austgrade 
22 Jul 2025,Payable Payment,Payment: BUNNINGS,,0.00,78.95,"1,842.76",(78.95),0.00,NAB- Austgrade 
22 Jul 2025,Receive Money,Service NSW AUSTGRADE,,50.00,0.00,"1,892.76",50.00,0.00,NAB- Austgrade 
22 Jul 2025,Receive Money,Ezidebit,,"1,084.97",0.00,"2,977.73","1,084.97",0.00,NAB- Austgrade 
23 Jul 2025,Receive Money,SERVICE NSW,,200.00,0.00,"3,177.73",200.00,0.00,NAB- Austgrade 
24 Jul 2025,Receive Money,Ezidebit,,"56,965.68",0.00,"60,143.41","56,965.68",0.00,NAB- Austgrade 
24 Jul 2025,Spend Money,salary,,0.00,"9,551.88","50,591.53","(9,551.88)",0.00,NAB- Austgrade 
24 Jul 2025,Spend Money,Maria Camilla Ramire,,0.00,600.00,"49,991.53",(600.00),0.00,NAB- Austgrade 
24 Jul 2025,Spend Money,LAURA CAMILA FUERTE,,0.00,113.77,"49,877.76",(113.77),0.00,NAB- Austgrade 
24 Jul 2025,Receive Money,SERVICE NSW,,50.00,0.00,"49,927.76",50.00,0.00,NAB- Austgrade 
24 Jul 2025,Spend Money,class fee refund,,0.00,637.25,"49,290.51",(637.25),0.00,NAB- Austgrade 
24 Jul 2025,Spend Money,Carolina Delgado,,0.00,297.60,"48,992.91",(297.60),0.00,NAB- Austgrade 
24 Jul 2025,Spend Money,Humm AUS solar panel payment,,0.00,192.97,"48,799.94",(192.97),0.00,NAB- Austgrade 
24 Jul 2025,Spend Money,SuperChoice,,0.00,"1,267.18","47,532.76","(1,267.18)",0.00,NAB- Austgrade 
24 Jul 2025,Spend Money,juan Sebastian Valen,,0.00,720.00,"46,812.76",(720.00),0.00,NAB- Austgrade 
24 Jul 2025,Spend Money,SILVIA MALDONADO,,0.00,159.00,"46,653.76",(159.00),0.00,NAB- Austgrade 
24 Jul 2025,Spend Money,A J Duffy,,0.00,"3,585.95","43,067.81","(3,585.95)",0.00,NAB- Austgrade 
25 Jul 2025,Receivable Payment,Payment: Mascot Public School,INV-0040,"6,000.00",0.00,"49,067.81","6,000.00",0.00,NAB- Austgrade 
25 Jul 2025,Receive Money,Ezidebit,,475.37,0.00,"49,543.18",475.37,0.00,NAB- Austgrade 
25 Jul 2025,Receive Money,Flexipay,,467.31,0.00,"50,010.49",467.31,0.00,NAB- Austgrade 
25 Jul 2025,Spend Money,LIZETH Gomez hortua,,0.00,593.21,"49,417.28",(593.21),0.00,NAB- Austgrade 
28 Jul 2025,Payable Payment,Payment: Budget Petrol,,0.00,104.65,"49,312.63",(104.65),0.00,NAB- Austgrade 
28 Jul 2025,Receive Money,Flexipay,,85.43,0.00,"49,398.06",85.43,0.00,NAB- Austgrade 
28 Jul 2025,Receive Money,Flexipay,,20.00,0.00,"49,418.06",20.00,0.00,NAB- Austgrade 
28 Jul 2025,Receive Money,Flexipay,,593.38,0.00,"50,011.44",593.38,0.00,NAB- Austgrade 
28 Jul 2025,Receive Money,Ezidebit,,288.24,0.00,"50,299.68",288.24,0.00,NAB- Austgrade 
29 Jul 2025,Receive Money,Ezidebit,,707.95,0.00,"51,007.63",707.95,0.00,NAB- Austgrade 
29 Jul 2025,Spend Money,NAB,,0.00,18.74,"50,988.89",(18.74),0.00,NAB- Austgrade 
30 Jul 2025,Receive Money,Ezidebit,,"1,026.12",0.00,"52,015.01","1,026.12",0.00,NAB- Austgrade 
30 Jul 2025,Spend Money,ONLINE Y2945203633 Mascot to Aroona AUSTGRADE M,,0.00,"10,000.00","42,015.01","(10,000.00)",0.00,NAB- Austgrade 
31 Jul 2025,Payable Payment,Payment: officework,orderNumber=1015958561,0.00,96.00,"41,919.01",(96.00),0.00,NAB- Austgrade 
31 Jul 2025,Spend Money,Icare Workers Insurance,,0.00,516.32,"41,402.69",(516.32),0.00,NAB- Austgrade 
31 Jul 2025,Spend Money,Merchant Fee,,0.00,49.68,"41,353.01",(49.68),0.00,NAB- Austgrade 
31 Jul 2025,Spend Money,NAB,,0.00,0.27,"41,352.74",(0.27),0.00,NAB- Austgrade 
01 Aug 2025,Spend Money,TAXIDEAS,,0.00,363.00,"40,989.74",(363.00),0.00,NAB- Austgrade 
01 Aug 2025,Receive Money,Flexipay,,337.60,0.00,"41,327.34",337.60,0.00,NAB- Austgrade 
01 Aug 2025,Spend Money,Swimbiz,,0.00,417.42,"40,909.92",(417.42),0.00,NAB- Austgrade 
01 Aug 2025,Spend Money,Humm AUS solar panel payment,,0.00,8.00,"40,901.92",(8.00),0.00,NAB- Austgrade 
01 Aug 2025,Receive Money,Service NSW AUSTGRADE,,50.00,0.00,"40,951.92",50.00,0.00,NAB- Austgrade 
04 Aug 2025,Receivable Payment,Payment: Auskor - ABN 39 199 641 813,INV-0043,"2,500.00",0.00,"43,451.92","2,500.00",0.00,NAB- Austgrade 
04 Aug 2025,Receive Money,Ezidebit,,"1,940.96",0.00,"45,392.88","1,940.96",0.00,NAB- Austgrade 
04 Aug 2025,Payable Payment,Payment: JB HI FI,,0.00,149.80,"45,243.08",(149.80),0.00,NAB- Austgrade 
04 Aug 2025,Receive Money,Flexipay,,40.00,0.00,"45,283.08",40.00,0.00,NAB- Austgrade 
04 Aug 2025,Receive Money,Flexipay,,73.00,0.00,"45,356.08",73.00,0.00,NAB- Austgrade 
04 Aug 2025,Receive Money,DONNA LOHMEYERA,,190.00,0.00,"45,546.08",190.00,0.00,NAB- Austgrade 
05 Aug 2025,Spend Money,ONLINE Y2945203633 Mascot to Aroona AUSTGRADE M,,0.00,"10,000.00","35,546.08","(10,000.00)",0.00,NAB- Austgrade 
05 Aug 2025,Payable Payment,Payment: BUNNINGS,,0.00,25.94,"35,520.14",(25.94),0.00,NAB- Austgrade 
05 Aug 2025,Receive Money,Ezidebit,,219.01,0.00,"35,739.15",219.01,0.00,NAB- Austgrade 
05 Aug 2025,Payable Payment,Payment: IGA,,0.00,8.60,"35,730.55",(8.60),0.00,NAB- Austgrade 
06 Aug 2025,Spend Money,Austgrade Leasing,,0.00,10.00,"35,720.55",(10.00),0.00,NAB- Austgrade 
06 Aug 2025,Spend Money,SuperChoice,,0.00,"1,088.50","34,632.05","(1,088.50)",0.00,NAB- Austgrade 
06 Aug 2025,Receive Money,SERVICE NSW,,200.00,0.00,"34,832.05",200.00,0.00,NAB- Austgrade 
06 Aug 2025,Receive Money,Ezidebit,,80.12,0.00,"34,912.17",80.12,0.00,NAB- Austgrade 
06 Aug 2025,Spend Money,salary,,0.00,"7,769.95","27,142.22","(7,769.95)",0.00,NAB- Austgrade 
06 Aug 2025,Spend Money,Austgrade Leasing,,0.00,"4,546.20","22,596.02","(4,546.20)",0.00,NAB- Austgrade 
07 Aug 2025,Receivable Payment,Payment: A1 Swimming Academy,INV-0044,420.00,0.00,"23,016.02",420.00,0.00,NAB- Austgrade 
07 Aug 2025,Receive Money,Ezidebit,,169.12,0.00,"23,185.14",169.12,0.00,NAB- Austgrade 
07 Aug 2025,Spend Money,Humm AUS solar panel payment,,0.00,192.97,"22,992.17",(192.97),0.00,NAB- Austgrade 
08 Aug 2025,Receive Money,Ezidebit,,130.54,0.00,"23,122.71",130.54,0.00,NAB- Austgrade 
08 Aug 2025,Spend Money,ONLINE J6289145852 Mascot to... Transfer Debit,,0.00,"10,000.00","13,122.71","(10,000.00)",0.00,NAB- Austgrade 
08 Aug 2025,Receive Money,Flexipay,,187.55,0.00,"13,310.26",187.55,0.00,NAB- Austgrade 
11 Aug 2025,Receive Money,Flexipay,,102.38,0.00,"13,412.64",102.38,0.00,NAB- Austgrade 
11 Aug 2025,Spend Money,Ryde district mums,,0.00,210.00,"13,202.64",(210.00),0.00,NAB- Austgrade 
11 Aug 2025,Spend Money,Budget Petrol,,0.00,104.65,"13,097.99",(104.65),0.00,NAB- Austgrade 
12 Aug 2025,Receive Money,Ezidebit,,82.24,0.00,"13,180.23",82.24,0.00,NAB- Austgrade 
13 Aug 2025,Receive Money,Ezidebit,,191.12,0.00,"13,371.35",191.12,0.00,NAB- Austgrade 
14 Aug 2025,Payable Payment,Payment: IGA,,0.00,59.44,"13,311.91",(59.44),0.00,NAB- Austgrade 
14 Aug 2025,Receive Money,Ezidebit,,55.12,0.00,"13,367.03",55.12,0.00,NAB- Austgrade 
15 Aug 2025,Receive Money,Ezidebit,,140.12,0.00,"13,507.15",140.12,0.00,NAB- Austgrade 
15 Aug 2025,Receive Money,Flexipay,,44.00,0.00,"13,551.15",44.00,0.00,NAB- Austgrade 
18 Aug 2025,Receive Money,Ezidebit,,338.75,0.00,"13,889.90",338.75,0.00,NAB- Austgrade 
18 Aug 2025,Receive Money,Flexipay,,30.00,0.00,"13,919.90",30.00,0.00,NAB- Austgrade 
18 Aug 2025,Receive Money,SERVICE NSW,,100.00,0.00,"14,019.90",100.00,0.00,NAB- Austgrade 
19 Aug 2025,Spend Money,Kevin Joyce Pest Control,,0.00,495.00,"13,524.90",(495.00),0.00,NAB- Austgrade 
19 Aug 2025,Payable Payment,Payment: IGA,,0.00,13.66,"13,511.24",(13.66),0.00,NAB- Austgrade 
19 Aug 2025,Receive Money,Ezidebit,,"1,434.40",0.00,"14,945.64","1,434.40",0.00,NAB- Austgrade 
19 Aug 2025,Spend Money,Lions Club,,0.00,"3,000.00","11,945.64","(3,000.00)",0.00,NAB- Austgrade 
20 Aug 2025,Receive Money,Flexipay,,30.00,0.00,"11,975.64",30.00,0.00,NAB- Austgrade 
20 Aug 2025,Receive Money,Service NSW AUSTGRADE,,250.00,0.00,"12,225.64",250.00,0.00,NAB- Austgrade 
20 Aug 2025,Receive Money,Ezidebit,,313.12,0.00,"12,538.76",313.12,0.00,NAB- Austgrade 
21 Aug 2025,Spend Money,NAB,,0.00,16.99,"12,521.77",(16.99),0.00,NAB- Austgrade 
21 Aug 2025,Receive Money,Ezidebit,,108.92,0.00,"12,630.69",108.92,0.00,NAB- Austgrade 
21 Aug 2025,Spend Money,salary,,0.00,"9,670.11","2,960.58","(9,670.11)",0.00,NAB- Austgrade 
21 Aug 2025,Receive Money,Flexipay,,30.00,0.00,"2,990.58",30.00,0.00,NAB- Austgrade 
21 Aug 2025,Spend Money,SuperChoice,,0.00,"1,297.70","1,692.88","(1,297.70)",0.00,NAB- Austgrade 
21 Aug 2025,Spend Money,Humm AUS solar panel payment,,0.00,192.97,"1,499.91",(192.97),0.00,NAB- Austgrade 
22 Aug 2025,Receive Money,Flexipay,,122.04,0.00,"1,621.95",122.04,0.00,NAB- Austgrade 
22 Aug 2025,Receive Money,Ezidebit,,226.88,0.00,"1,848.83",226.88,0.00,NAB- Austgrade 
25 Aug 2025,Receive Money,Flexipay,,26.00,0.00,"1,874.83",26.00,0.00,NAB- Austgrade 
25 Aug 2025,Payable Payment,Payment: IGA,,0.00,17.60,"1,857.23",(17.60),0.00,NAB- Austgrade 
25 Aug 2025,Receive Money,Ezidebit,,526.03,0.00,"2,383.26",526.03,0.00,NAB- Austgrade 
25 Aug 2025,Receive Money,Flexipay,,150.47,0.00,"2,533.73",150.47,0.00,NAB- Austgrade 
25 Aug 2025,Payable Payment,Payment: Budget Petrol,,0.00,104.65,"2,429.08",(104.65),0.00,NAB- Austgrade 
26 Aug 2025,Receive Money,Ezidebit,,"54,963.30",0.00,"57,392.38","54,963.30",0.00,NAB- Austgrade 
26 Aug 2025,Receive Money,Flexipay,,235.94,0.00,"57,628.32",235.94,0.00,NAB- Austgrade 
27 Aug 2025,Payable Payment,Payment: A J Duffy,90148,0.00,"36,476.72","21,151.60","(36,476.72)",0.00,NAB- Austgrade 
27 Aug 2025,Receive Money,Ezidebit,,33.12,0.00,"21,184.72",33.12,0.00,NAB- Austgrade 
27 Aug 2025,Receive Money,Flexipay,,20.00,0.00,"21,204.72",20.00,0.00,NAB- Austgrade 
27 Aug 2025,Spend Money,Origin Energy,,0.00,"3,801.15","17,403.57","(3,801.15)",0.00,NAB- Austgrade 
28 Aug 2025,Receive Money,Ezidebit,,305.22,0.00,"17,708.79",305.22,0.00,NAB- Austgrade 
28 Aug 2025,Receive Money,Flexipay,,504.09,0.00,"18,212.88",504.09,0.00,NAB- Austgrade 
29 Aug 2025,Payable Payment,Payment: Waster Pty Ltd,00123488,0.00,221.10,"17,991.78",(221.10),0.00,NAB- Austgrade 
29 Aug 2025,Receive Money,Flexipay,,52.00,0.00,"18,043.78",52.00,0.00,NAB- Austgrade 
29 Aug 2025,Spend Money,Merchant Fee,,0.00,40.17,"18,003.61",(40.17),0.00,NAB- Austgrade 
01 Sep 2025,Receive Money,Ezidebit,,409.12,0.00,"18,412.73",409.12,0.00,NAB- Austgrade 
01 Sep 2025,Spend Money,Icare Workers Insurance,,0.00,516.32,"17,896.41",(516.32),0.00,NAB- Austgrade 
01 Sep 2025,Receive Money,Flexipay,,50.00,0.00,"17,946.41",50.00,0.00,NAB- Austgrade 
01 Sep 2025,Spend Money,Humm AUS solar panel payment,,0.00,8.00,"17,938.41",(8.00),0.00,NAB- Austgrade 
01 Sep 2025,Receive Money,Flexipay,,30.00,0.00,"17,968.41",30.00,0.00,NAB- Austgrade 
01 Sep 2025,Spend Money,Swimbiz,,0.00,406.62,"17,561.79",(406.62),0.00,NAB- Austgrade 
01 Sep 2025,Spend Money,ONLINE Y2945203633 Mascot to Aroona AUSTGRADE M,,0.00,"6,000.00","11,561.79","(6,000.00)",0.00,NAB- Austgrade 
01 Sep 2025,Spend Money,TAXIDEAS,,0.00,363.00,"11,198.79",(363.00),0.00,NAB- Austgrade 
02 Sep 2025,Receive Money,Ezidebit,,"1,668.32",0.00,"12,867.11","1,668.32",0.00,NAB- Austgrade 
02 Sep 2025,Receive Money,Flexipay,,20.00,0.00,"12,887.11",20.00,0.00,NAB- Austgrade 
03 Sep 2025,Spend Money,SuperChoice,,0.00,"1,129.27","11,757.84","(1,129.27)",0.00,NAB- Austgrade 
03 Sep 2025,Receive Money,Flexipay,,16.00,0.00,"11,773.84",16.00,0.00,NAB- Austgrade 
03 Sep 2025,Receive Money,Ezidebit,,224.12,0.00,"11,997.96",224.12,0.00,NAB- Austgrade 
03 Sep 2025,Spend Money,salary,,0.00,"8,296.49","3,701.47","(8,296.49)",0.00,NAB- Austgrade 
04 Sep 2025,Receive Money,Flexipay,,42.50,0.00,"3,743.97",42.50,0.00,NAB- Austgrade 
04 Sep 2025,Payable Payment,Payment: office,,0.00,15.60,"3,728.37",(15.60),0.00,NAB- Austgrade 
04 Sep 2025,Receive Money,SERVICE NSW,,50.00,0.00,"3,778.37",50.00,0.00,NAB- Austgrade 
04 Sep 2025,Spend Money,Humm AUS solar panel payment,,0.00,192.97,"3,585.40",(192.97),0.00,NAB- Austgrade 
04 Sep 2025,Receive Money,Ezidebit,,219.12,0.00,"3,804.52",219.12,0.00,NAB- Austgrade 
05 Sep 2025,Receive Money,Flexipay,,217.36,0.00,"4,021.88",217.36,0.00,NAB- Austgrade 
05 Sep 2025,Payable Payment,Payment: Budget Petrol,,0.00,104.65,"3,917.23",(104.65),0.00,NAB- Austgrade 
05 Sep 2025,Receive Money,Ezidebit,,136.44,0.00,"4,053.67",136.44,0.00,NAB- Austgrade 
08 Sep 2025,Receive Money,Flexipay,,16.00,0.00,"4,069.67",16.00,0.00,NAB- Austgrade 
08 Sep 2025,Receive Money,Ezidebit,,384.41,0.00,"4,454.08",384.41,0.00,NAB- Austgrade 
08 Sep 2025,Receive Money,SERVICE NSW,,100.00,0.00,"4,554.08",100.00,0.00,NAB- Austgrade 
08 Sep 2025,Receive Money,Flexipay,,30.00,0.00,"4,584.08",30.00,0.00,NAB- Austgrade 
08 Sep 2025,Receive Money,Flexipay,,32.00,0.00,"4,616.08",32.00,0.00,NAB- Austgrade 
